EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32.0,30.0,0.0,Travel_Rarely,853.0,Research & Development,7.0,4,Life Sciences,1.0,3,Male,49.0,3.0,2,Laboratory Technician,3,Divorced,3491.0,11309.0,1,Y,No,13.0,3,1,80.0,3,10.0,4,2,10.0,7.0,7.499999999999999,9.0
33.0,38.0,0.0,Travel_Rarely,433.0,Human Resources,1.0,3,Human Resources,1.0,3,Male,37.0,4.0,1,Human Resources,3,Married,2844.0,6004.0,1,Y,No,13.0,3,4,80.0,1,7.0,2,4,7.0,6.0,5.0,0.0
34.0,28.0,1.0,Travel_Frequently,1496.0,Sales,1.0,3,Technical Degree,1.0,1,Male,92.0,3.0,1,Sales Representative,3,Married,2908.9999999999995,15747.0,3,Y,No,15.0,3,4,80.0,1,5.0,3,4,3.0,2.0,1.0,2.0
35.0,31.0,0.0,Travel_Rarely,192.0,Research & Development,2.0,4,Life Sciences,1.0,3,Male,32.0,3.0,1,Research Scientist,4,Divorced,2695.0,7747.0,0,Y,Yes,18.0,3,2,80.0,1,3.0,2,1,2.0,2.0,2.0,2.0
36.0,36.0,0.0,Non-Travel,845.0,Sales,1.0,5,Medical,1.0,4,Female,45.0,3.0,2,Sales Executive,4,Single,6653.0,15276.0,4,Y,No,15.0,3,2,80.0,0,7.0,6,3,1.0,0.0,2.220446049250313e-16,0.0
37.0,32.0,0.0,Travel_Rarely,427.0,Research & Development,1.0,3,Medical,1.0,1,Male,33.0,3.0,2,Manufacturing Director,4,Married,6162.0,10877.0,1,Y,Yes,22.0,4,2,80.0,1,9.0,3,3,9.0,8.0,7.0,8.0
39.0,28.0,0.0,Non-Travel,120.0,Sales,4.0,3,Medical,1.0,2,Male,43.0,3.0,2,Sales Executive,3,Married,4221.0,8863.0,1,Y,No,15.0,3,2,80.0,0,5.0,3,4,5.0,4.0,2.220446049250313e-16,4.0
40.0,31.0,1.0,Travel_Rarely,249.0,Sales,6.0,4,Life Sciences,1.0,2,Male,76.0,1.0,2,Sales Executive,3,Married,6172.0,20739.0,4,Y,Yes,18.0,3,2,80.0,0,12.0,3,2,7.0,7.0,7.0,7.0
41.0,50.0,0.0,Travel_Rarely,316.0,Sales,8.0,4,Marketing,1.0,4,Male,54.0,3.0,1,Sales Representative,2,Married,3875.0,9983.0,7,Y,No,15.0,3,4,80.0,1,4.0,2,3,2.0,2.0,2.0,2.0
42.0,39.0,0.0,Travel_Rarely,1132.0,Research & Development,1.0,3,Medical,1.0,3,Male,48.0,4.0,3,Healthcare Representative,4,Divorced,9613.0,10942.0,0,Y,No,17.0,3,1,80.0,3,19.0,5,2,18.0,10.0,3.0,7.0
43.0,35.0,0.0,Travel_Rarely,809.0,Research & Development,16.0,3,Medical,1.0,1,Male,84.0,4.0,1,Laboratory Technician,2,Married,2426.0,16479.0,0,Y,No,13.0,3,3,80.0,1,6.0,5,3,5.0,4.0,2.220446049250313e-16,3.0
44.0,32.0,0.0,Travel_Frequently,379.0,Sales,5.0,2,Life Sciences,1.0,2,Male,48.0,3.0,2,Sales Executive,2,Married,6524.0,8891.0,1,Y,No,14.0,3,4,80.0,1,10.0,3,3,10.0,8.0,5.0,3.0
45.0,26.0,1.0,Travel_Rarely,1330.0,Research & Development,21.0,3,Medical,1.0,1,Male,37.0,3.0,1,Laboratory Technician,3,Divorced,2377.0,19373.0,1,Y,No,20.0,4,3,80.0,1,1.0,0,2,1.0,1.0,2.220446049250313e-16,0.0
46.0,30.0,0.0,Travel_Rarely,288.0,Research & Development,2.0,3,Life Sciences,1.0,3,Male,99.0,2.0,2,Healthcare Representative,4,Married,4152.0,15830.0,1,Y,No,19.0,3,1,80.0,3,11.0,3,3,11.0,10.0,7.499999999999999,8.0
49.0,38.0,0.0,Travel_Frequently,216.0,Research & Development,23.0,3,Life Sciences,1.0,4,Male,44.0,2.0,3,Manufacturing Director,3,Single,9526.0,8787.0,0,Y,No,21.0,4,2,80.0,0,10.0,2,3,9.0,7.0,1.0,8.0
50.0,21.0,0.0,Travel_Rarely,1343.0,Sales,22.0,1,Technical Degree,1.0,3,Male,49.0,3.0,1,Sales Representative,3,Single,3447.0,24444.0,1,Y,No,11.0,3,3,80.0,0,3.0,2,3,3.0,2.0,1.0,2.0
51.0,35.0,0.0,Travel_Rarely,950.0,Research & Development,7.0,3,Other,1.0,3,Male,59.0,3.0,3,Manufacturing Director,3,Single,10221.0,18869.0,3,Y,No,21.0,4,2,80.0,0,17.0,3,4,8.0,5.0,1.0,6.0
54.0,26.0,0.0,Travel_Frequently,1479.0,Research & Development,1.0,3,Life Sciences,1.0,3,Female,84.0,3.0,2,Manufacturing Director,2,Divorced,6397.0,26767.0,1,Y,No,20.0,4,1,80.0,1,6.0,6,1,6.0,5.0,1.0,4.0
55.0,31.0,1.0,Travel_Frequently,523.0,Research & Development,2.0,3,Life Sciences,1.0,2,Male,94.0,3.0,1,Laboratory Technician,4,Married,3722.0,21081.0,6,Y,Yes,13.0,3,3,80.0,1,7.0,2,1,2.0,2.0,2.0,2.0
57.0,32.0,0.0,Travel_Rarely,1062.0,Research & Development,2.0,3,Medical,1.0,3,Female,75.0,3.0,1,Laboratory Technician,2,Married,2370.0,3956.0,1,Y,No,13.0,3,3,80.0,1,8.0,4,3,8.0,0.0,2.220446049250313e-16,7.0
58.0,32.0,0.0,Travel_Rarely,929.0,Sales,10.0,3,Marketing,1.0,4,Male,55.0,3.0,2,Sales Executive,4,Single,5396.0,21703.0,1,Y,No,12.0,3,4,80.0,0,10.0,2,2,10.0,7.0,2.220446049250313e-16,8.0
59.0,34.0,0.0,Travel_Rarely,1303.0,Research & Development,2.0,4,Life Sciences,1.0,4,Male,62.0,2.0,1,Research Scientist,3,Divorced,2768.0,8416.0,3,Y,No,12.0,3,3,80.0,1,14.0,3,3,7.0,3.0,5.0,7.0
60.0,33.0,0.0,Travel_Frequently,553.0,Research & Development,5.0,4,Life Sciences,1.0,4,Female,74.0,3.0,3,Manager,2,Married,11878.0,23364.0,6,Y,No,11.0,3,2,80.0,2,12.0,2,3,10.0,6.0,7.499999999999999,8.0
61.0,47.0,0.0,Travel_Rarely,983.0,Research & Development,2.0,2,Medical,1.0,1,Female,65.0,3.0,2,Manufacturing Director,4,Divorced,5070.0,7389.0,5,Y,No,13.0,3,3,80.0,3,20.0,2,3,5.0,0.0,2.220446049250313e-16,4.0
63.0,30.0,0.0,Travel_Rarely,921.0,Research & Development,1.0,3,Life Sciences,1.0,4,Male,38.0,1.0,1,Laboratory Technician,3,Married,3833.0,24375.0,3,Y,No,21.0,4,3,80.0,2,7.0,2,3,2.0,2.0,2.220446049250313e-16,2.0
64.0,58.0,0.0,Travel_Rarely,1145.0,Research & Development,9.0,3,Medical,1.0,2,Female,75.0,2.0,1,Research Scientist,2,Married,3346.0000000000005,11873.0,4,Y,Yes,20.0,4,2,80.0,1,9.0,3,2,1.0,0.0,2.220446049250313e-16,0.0
65.0,37.0,1.0,Travel_Rarely,625.0,Sales,1.0,4,Life Sciences,1.0,1,Male,46.0,2.0,3,Sales Executive,3,Married,10609.0,14922.0,5,Y,No,11.0,3,3,80.0,0,17.0,2,1,14.0,1.0,7.499999999999999,7.0
68.0,38.0,0.0,Travel_Rarely,1380.0,Research & Development,9.0,2,Life Sciences,1.0,3,Female,75.0,3.0,1,Laboratory Technician,4,Single,2288.0,6319.0,1,Y,No,12.0,3,3,80.0,0,2.0,3,3,2.0,2.0,2.0,1.0
69.0,43.0,1.0,Travel_Rarely,1372.0,Sales,9.0,3,Marketing,1.0,1,Female,85.0,1.0,2,Sales Executive,3,Single,5346.0,9489.0,8,Y,No,13.0,3,2,80.0,0,7.0,2,2,4.0,3.0,1.0,3.0
71.0,52.0,0.0,Travel_Frequently,321.99999999999994,Research & Development,28.0,2,Medical,1.0,4,Female,59.0,4.0,4,Manufacturing Director,3,Married,13247.0,9731.0,2,Y,Yes,11.0,3,2,80.0,1,24.0,3,2,5.0,3.0,2.220446049250313e-16,2.0
73.0,44.0,0.0,Travel_Rarely,1488.0,Sales,1.0,5,Marketing,1.0,2,Female,75.0,3.0,2,Sales Executive,1,Divorced,5454.0,4009.0,5,Y,Yes,21.0,4,3,80.0,1,9.0,2,2,4.0,3.0,1.0,3.0
74.0,59.0,0.0,Travel_Rarely,142.0,Research & Development,3.0,3,Life Sciences,1.0,3,Male,70.0,2.0,1,Research Scientist,4,Married,2177.0,8456.0,3,Y,No,17.0,3,1,80.0,1,7.0,6,3,1.0,0.0,2.220446049250313e-16,0.0
77.0,42.0,0.0,Non-Travel,926.0,Research & Development,21.0,2,Medical,1.0,3,Female,36.0,3.0,2,Manufacturing Director,3,Divorced,5265.0,16439.0,2,Y,No,16.0,3,2,80.0,1,11.0,5,3,5.0,3.0,2.220446049250313e-16,2.0
78.0,45.0,0.0,Travel_Rarely,561.0,Sales,2.0,3,Other,1.0,4,Male,61.0,3.0,2,Sales Executive,2,Married,4805.0,16177.0,0,Y,No,19.0,3,2,80.0,1,9.0,3,4,8.0,7.0,3.0,7.0
81.0,21.0,1.0,Travel_Rarely,1427.0,Research & Development,18.0,1,Other,1.0,4,Female,65.0,3.0,1,Research Scientist,4,Single,2693.0,8870.0,1,Y,No,19.0,3,1,80.0,0,1.0,3,2,1.0,0.0,2.220446049250313e-16,0.0
82.0,23.0,0.0,Travel_Rarely,885.0,Research & Development,4.0,3,Medical,1.0,1,Male,58.0,4.0,1,Research Scientist,1,Married,2819.0,8544.0,2,Y,No,16.0,3,1,80.0,1,5.0,3,4,3.0,2.0,2.220446049250313e-16,2.0
84.0,54.0,0.0,Travel_Rarely,1147.0,Sales,3.0,3,Marketing,1.0,4,Female,52.0,3.0,2,Sales Executive,1,Married,5940.0,17011.0,2,Y,No,14.0,3,4,80.0,1,16.0,4,3,6.0,2.0,2.220446049250313e-16,5.0
85.0,41.0,0.0,Travel_Rarely,509.0,Research & Development,7.0,2,Technical Degree,1.0,2,Female,43.0,4.0,1,Research Scientist,3,Married,3376.0,18863.0,1,Y,No,13.0,3,3,80.0,0,10.0,3,3,10.0,6.0,2.220446049250313e-16,8.0
86.0,45.0,0.0,Travel_Rarely,1038.0,Research & Development,20.0,3,Medical,1.0,2,Male,95.0,1.0,3,Healthcare Representative,1,Divorced,10851.0,19863.0,2,Y,Yes,18.0,3,2,80.0,1,24.0,2,3,7.0,7.0,2.220446049250313e-16,7.0
88.0,45.0,0.0,Non-Travel,1052.0,Sales,6.0,3,Medical,1.0,4,Female,57.0,2.0,3,Sales Executive,4,Single,8865.0,16840.0,6,Y,No,12.0,3,4,80.0,0,23.0,2,3,18.0,7.0,7.499999999999999,8.0
93.0,55.0,0.0,Travel_Rarely,111.0,Sales,1.0,2,Life Sciences,1.0,1,Male,70.0,3.0,3,Sales Executive,4,Married,10239.0,18092.0,3,Y,No,14.0,3,4,80.0,1,24.0,4,3,1.0,0.0,1.0,0.0
95.0,34.0,0.0,Travel_Frequently,1069.0,Research & Development,2.0,1,Life Sciences,1.0,4,Male,45.0,2.0,2,Manufacturing Director,3,Married,9547.0,14074.0,1,Y,No,17.0,3,3,80.0,0,10.0,2,2,10.0,9.0,1.0,9.0
97.0,57.0,0.0,Travel_Rarely,405.0,Research & Development,1.0,2,Life Sciences,1.0,2,Male,93.0,4.0,2,Research Scientist,3,Married,4900.0,2721.0,0,Y,No,24.0,4,1,80.0,1,13.0,2,2,12.0,9.0,2.0,8.0
99.0,33.0,0.0,Travel_Rarely,147.0,Research & Development,4.0,4,Medical,1.0,3,Female,47.0,2.0,1,Research Scientist,2,Married,2622.0000000000005,13248.0,6,Y,No,21.0,4,4,80.0,0,7.0,3,3,3.0,2.0,1.0,1.0
100.0,32.0,0.0,Non-Travel,299.99999999999994,Research & Development,1.0,3,Life Sciences,1.0,4,Male,61.0,3.0,1,Laboratory Technician,4,Divorced,2314.0,9148.0,0,Y,No,12.0,3,2,80.0,1,4.0,2,3,3.0,0.0,2.220446049250313e-16,2.0
101.0,21.0,1.0,Travel_Frequently,251.0,Research & Development,10.0,2,Life Sciences,1.0,1,Female,45.0,2.0,1,Laboratory Technician,3,Single,2625.0,25308.0,1,Y,No,20.0,4,3,80.0,0,2.0,2,1,2.0,2.0,2.0,2.0
102.0,34.0,1.0,Travel_Frequently,296.0,Sales,6.0,2,Marketing,1.0,4,Female,33.0,1.0,1,Sales Representative,3,Divorced,2351.0,12253.0,0,Y,No,16.0,3,4,80.0,1,3.0,3,2,2.0,2.0,1.0,0.0
104.0,27.0,0.0,Travel_Frequently,1242.0,Sales,20.0,3,Life Sciences,1.0,4,Female,90.0,3.0,2,Sales Executive,3,Single,9981.0,12916.0,1,Y,No,14.0,3,4,80.0,0,7.0,2,3,7.0,7.0,2.220446049250313e-16,7.0
106.0,36.0,0.0,Travel_Rarely,917.0,Research & Development,6.0,4,Life Sciences,1.0,3,Male,60.0,1.0,1,Laboratory Technician,3,Divorced,2741.0,6864.999999999999,1,Y,No,14.0,3,3,80.0,1,7.0,4,3,7.0,7.0,1.0,7.0
107.0,41.0,1.0,Travel_Rarely,1360.0,Research & Development,12.0,3,Technical Degree,1.0,2,Female,49.0,3.0,5,Research Director,3,Married,17490.875,16280.0,1,Y,No,12.0,3,4,80.0,0,23.0,0,3,18.0,14.5,7.499999999999999,8.0
109.0,33.0,0.0,Travel_Frequently,1296.0,Research & Development,6.0,3,Life Sciences,1.0,3,Male,30.0,3.0,2,Healthcare Representative,4,Divorced,7725.0,5335.0,3,Y,No,23.0,4,3,80.0,1,15.0,2,1,13.0,11.0,4.0,7.0
110.0,18.0,1.0,Non-Travel,247.0,Research & Development,8.0,1,Medical,1.0,3,Male,80.0,3.0,1,Laboratory Technician,3,Single,1904.0,13556.0,1,Y,No,12.0,3,4,80.0,0,0.0,0,3,8.881784197001252e-16,0.0,2.220446049250313e-16,0.0
111.0,27.0,0.0,Travel_Rarely,894.0,Research & Development,9.0,3,Medical,1.0,4,Female,99.0,3.0,1,Research Scientist,2,Single,2279.0,11781.0,1,Y,No,16.0,3,4,80.0,0,7.0,2,2,7.0,7.0,2.220446049250313e-16,3.0
112.0,22.0,0.0,Travel_Rarely,1230.0,Research & Development,1.0,2,Life Sciences,1.0,4,Male,33.0,2.0,2,Manufacturing Director,4,Married,4775.0,19146.0,6,Y,No,22.0,4,1,80.0,2,4.0,2,1,2.0,2.0,2.0,2.0
113.0,33.0,1.0,Travel_Rarely,813.0,Research & Development,14.0,3,Medical,1.0,3,Male,58.0,3.0,1,Laboratory Technician,4,Married,2436.0,22149.0,5,Y,Yes,13.0,3,3,80.0,1,8.0,2,1,5.0,4.0,2.220446049250313e-16,4.0
114.0,42.0,0.0,Travel_Frequently,1368.0,Research & Development,28.0,4,Technical Degree,1.0,4,Female,88.0,2.0,2,Healthcare Representative,4,Married,4523.0,4386.0,0,Y,No,11.0,3,4,80.0,3,7.0,4,4,6.0,5.0,2.220446049250313e-16,4.0
115.0,29.0,0.0,Travel_Frequently,806.0,Research & Development,1.0,4,Life Sciences,1.0,2,Male,76.0,1.0,1,Research Scientist,4,Divorced,2719.9999999999995,18959.0,1,Y,No,18.0,3,4,80.0,1,10.0,5,3,10.0,7.0,2.0,8.0
117.0,35.0,0.0,Travel_Rarely,817.0,Research & Development,1.0,3,Medical,1.0,4,Female,60.0,2.0,2,Laboratory Technician,4,Married,5363.0,10846.0,0,Y,No,12.0,3,2,80.0,1,10.0,0,3,9.0,7.0,2.220446049250313e-16,0.0
119.0,37.0,0.0,Non-Travel,142.0,Sales,9.0,4,Medical,1.0,1,Male,69.0,3.0,3,Sales Executive,2,Divorced,8834.0,24666.0,1,Y,No,13.0,3,4,80.0,1,9.0,6,3,9.0,5.0,7.0,7.0
121.0,52.0,1.0,Travel_Rarely,266.0,Sales,2.0,1,Marketing,1.0,1,Female,57.0,1.0,5,Manager,4,Married,17490.875,25846.0,1,Y,No,15.0,3,4,80.0,1,31.0,3,3,18.0,14.0,6.0,9.0
122.0,31.0,0.0,Travel_Rarely,218.0,Sales,7.0,3,Technical Degree,1.0,2,Male,100.0,4.0,2,Sales Executive,4,Married,6929.0,12241.0,4,Y,No,11.0,3,2,80.0,1,10.0,3,2,8.0,7.0,7.0,7.0
123.0,29.0,0.0,Travel_Rarely,1396.0,Sales,10.0,3,Life Sciences,1.0,3,Male,99.0,3.0,1,Sales Representative,3,Single,2642.0,2755.0,1,Y,No,11.0,3,3,80.0,0,1.0,6,3,1.0,0.0,2.220446049250313e-16,0.0
126.0,32.0,1.0,Non-Travel,1474.0,Sales,11.0,4,Other,1.0,4,Male,60.0,4.0,2,Sales Executive,3,Married,4707.0,23914.0,8,Y,No,12.0,3,4,80.0,0,6.0,2,3,4.0,2.0,1.0,2.0
127.0,35.0,0.0,Non-Travel,1097.0,Research & Development,11.0,2,Medical,1.0,3,Male,79.0,2.0,3,Healthcare Representative,1,Married,9884.0,8302.0,2,Y,Yes,13.0,3,3,80.0,1,10.0,3,3,4.0,0.0,2.0,3.0
128.0,43.0,0.0,Travel_Rarely,920.0,Research & Development,3.0,3,Life Sciences,1.0,3,Male,96.0,1.0,5,Research Director,4,Married,17490.875,18625.0,3,Y,No,14.0,3,2,80.0,1,25.0,2,3,8.0,7.0,2.220446049250313e-16,7.0
129.0,33.0,0.0,Travel_Rarely,134.0,Research & Development,2.0,3,Life Sciences,1.0,3,Male,90.0,3.0,1,Research Scientist,4,Single,2500.0000000000005,10515.0,0,Y,No,14.0,3,1,80.0,0,4.0,2,4,3.0,1.0,2.220446049250313e-16,2.0
133.0,37.0,0.0,Travel_Rarely,309.0,Sales,10.0,4,Life Sciences,1.0,4,Female,88.0,2.0,2,Sales Executive,4,Divorced,6694.0,24223.0,2,Y,Yes,14.0,3,3,80.0,3,8.0,5,3,1.0,0.0,2.220446049250313e-16,0.0
134.0,27.0,1.0,Travel_Rarely,135.0,Research & Development,17.0,4,Life Sciences,1.0,4,Female,51.0,3.0,1,Research Scientist,3,Single,2394.0,25681.0,1,Y,Yes,13.0,3,4,80.0,0,8.0,2,3,8.0,2.0,7.0,7.0
135.0,28.0,0.0,Travel_Rarely,1451.0,Research & Development,2.0,1,Life Sciences,1.0,1,Male,67.0,2.0,1,Research Scientist,2,Married,3201.0,19911.0,0,Y,No,17.0,3,1,80.0,0,6.0,2,1,5.0,3.0,2.220446049250313e-16,4.0
136.0,27.0,0.0,Travel_Frequently,294.0,Research & Development,10.0,2,Life Sciences,1.0,4,Male,32.0,3.0,3,Manufacturing Director,1,Divorced,8793.0,4809.0,1,Y,No,21.0,4,3,80.0,2,9.0,4,2,9.0,7.0,1.0,7.0
137.0,37.0,0.0,Travel_Rarely,341.99999999999994,Sales,16.0,4,Marketing,1.0,4,Male,66.0,2.0,2,Sales Executive,3,Divorced,6334.0,24558.0,4,Y,No,19.0,3,4,80.0,2,9.0,2,3,1.0,0.0,2.220446049250313e-16,0.0
138.0,27.0,0.0,Travel_Rarely,199.0,Research & Development,6.0,3,Life Sciences,1.0,4,Male,55.0,2.0,1,Research Scientist,3,Married,2538.9999999999995,7950.0,1,Y,No,13.0,3,3,80.0,1,4.0,0,3,4.0,2.0,2.0,2.0
139.0,37.0,0.0,Travel_Frequently,319.0,Sales,4.0,4,Marketing,1.0,1,Male,41.0,3.0,1,Sales Representative,4,Divorced,2793.0,2539.0,4,Y,No,17.0,3,3,80.0,1,13.0,2,3,9.0,8.0,5.0,8.0
140.0,31.0,0.0,Travel_Rarely,1062.0,Research & Development,24.0,3,Medical,1.0,3,Female,96.0,2.0,2,Healthcare Representative,1,Single,6812.0,17198.0,1,Y,No,19.0,3,2,80.0,0,10.0,2,3,10.0,9.0,1.0,8.0
141.0,48.0,0.0,Travel_Rarely,715.0,Research & Development,1.0,3,Life Sciences,1.0,4,Male,76.0,2.0,5,Research Director,4,Single,17490.875,8733.0,6,Y,No,12.0,3,3,80.0,0,25.0,3,4,1.0,0.0,2.220446049250313e-16,0.0
142.0,36.0,0.0,Travel_Rarely,676.0,Research & Development,1.0,3,Other,1.0,3,Female,35.0,3.0,2,Manufacturing Director,2,Married,5228.0,23361.0,0,Y,No,15.0,3,1,80.0,1,10.0,2,3,9.0,7.0,2.220446049250313e-16,5.0
143.0,37.0,0.0,Travel_Rarely,977.0,Research & Development,1.0,3,Life Sciences,1.0,4,Female,56.0,2.0,2,Manufacturing Director,4,Married,6474.0,9961.0,1,Y,No,13.0,3,2,80.0,1,14.0,2,2,14.0,8.0,3.0,11.0
146.0,38.0,0.0,Travel_Rarely,702.0,Sales,1.0,4,Life Sciences,1.0,1,Female,59.0,2.0,2,Sales Executive,4,Single,8686.0,12930.0,4,Y,No,22.0,4,3,80.0,0,12.0,2,4,8.0,3.0,2.220446049250313e-16,7.0
